Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Total score
Switzerland,Western Europe,1,7.59,0.03,1.4,1.35,0.94,0.67,0.42,0.3,2.52,16.17
Iceland,Western Europe,2,7.56,0.05,1.3,1.4,0.95,0.63,0.14,0.44,2.7,17.12
Denmark,Western Europe,3,7.53,0.03,1.33,1.36,0.87,0.65,0.48,0.34,2.49,18.05
Norway,Western Europe,4,7.52,0.04,1.46,1.33,0.89,0.67,0.37,0.35,2.47,19.04
Canada,North America,5,7.43,0.04,1.33,1.32,0.91,0.63,0.33,0.46,2.45,19.85
Finland,Western Europe,6,7.41,0.03,1.29,1.32,0.89,0.64,0.41,0.23,2.62,20.81
Netherlands,Western Europe,7,7.38,0.03,1.33,1.28,0.89,0.62,0.32,0.48,2.47,21.76
Sweden,Western Europe,8,7.36,0.03,1.33,1.29,0.91,0.66,0.44,0.36,2.37,22.73
New Zealand,Australia and New Zealand,9,7.29,0.03,1.25,1.32,0.91,0.64,0.43,0.48,2.26,23.57
Australia,Australia and New Zealand,10,7.28,0.04,1.33,1.31,0.93,0.65,0.36,0.44,2.27,24.57
Israel,Middle East and Northern Africa,11,7.28,0.04,1.23,1.22,0.91,0.41,0.08,0.33,3.09,25.56
Costa Rica,Latin America and Caribbean,12,7.23,0.04,0.96,1.24,0.86,0.63,0.11,0.25,3.18,26.45
Austria,Western Europe,13,7.2,0.04,1.34,1.3,0.89,0.62,0.19,0.33,2.53,27.4
Mexico,Latin America and Caribbean,14,7.19,0.04,1.02,0.91,0.81,0.48,0.21,0.14,3.6,28.37
United States,North America,15,7.12,0.04,1.39,1.25,0.86,0.55,0.16,0.4,2.51,29.24
Brazil,Latin America and Caribbean,16,6.98,0.04,0.98,1.23,0.7,0.49,0.18,0.15,3.26,29.97
Luxembourg,Western Europe,17,6.95,0.04,1.56,1.22,0.92,0.62,0.38,0.28,1.97,30.89
Ireland,Western Europe,18,6.94,0.04,1.34,1.37,0.9,0.62,0.29,0.46,1.98,31.88
Belgium,Western Europe,19,6.94,0.04,1.31,1.29,0.9,0.58,0.23,0.22,2.41,32.87
United Arab Emirates,Middle East and Northern Africa,20,6.9,0.04,1.43,1.13,0.81,0.64,0.39,0.26,2.25,33.8
United Kingdom,Western Europe,21,6.87,0.02,1.27,1.29,0.91,0.6,0.32,0.52,1.97,34.73
Oman,Middle East and Northern Africa,22,6.85,0.05,1.36,1.08,0.76,0.63,0.33,0.22,2.47,35.71
Venezuela,Latin America and Caribbean,23,6.81,0.06,1.04,1.26,0.72,0.43,0.11,0.06,3.19,36.62
Singapore,Southeastern Asia,24,6.8,0.04,1.52,1.02,1.03,0.54,0.49,0.31,1.89,37.6
Panama,Latin America and Caribbean,25,6.79,0.05,1.06,1.2,0.8,0.54,0.09,0.24,2.85,38.57
Germany,Western Europe,26,6.75,0.02,1.33,1.3,0.89,0.61,0.22,0.28,2.12,39.5
Chile,Latin America and Caribbean,27,6.67,0.06,1.11,1.12,0.86,0.44,0.13,0.33,2.68,40.34
Qatar,Middle East and Northern Africa,28,6.61,0.06,1.69,1.08,0.8,0.64,0.52,0.33,1.56,41.22
France,Western Europe,29,6.58,0.04,1.28,1.26,0.95,0.55,0.21,0.12,2.21,42.15
Argentina,Latin America and Caribbean,30,6.57,0.05,1.05,1.25,0.79,0.45,0.08,0.11,2.84,43.15
Czech Republic,Central and Eastern Europe,31,6.5,0.04,1.18,1.21,0.84,0.46,0.03,0.11,2.68,44.01
Uruguay,Latin America and Caribbean,32,6.48,0.04,1.06,1.21,0.81,0.6,0.25,0.23,2.32,44.97
Colombia,Latin America and Caribbean,33,6.48,0.05,0.92,1.24,0.69,0.53,0.05,0.18,2.86,45.95
Thailand,Southeastern Asia,34,6.46,0.04,0.97,1.27,0.74,0.56,0.03,0.58,2.32,46.91
Saudi Arabia,Middle East and Northern Africa,35,6.41,0.05,1.4,1.08,0.72,0.31,0.33,0.14,2.44,47.82
Spain,Western Europe,36,6.33,0.04,1.23,1.31,0.96,0.46,0.06,0.18,2.12,48.66
Malta,Western Europe,37,6.3,0.04,1.21,1.3,0.89,0.6,0.14,0.52,1.65,49.6
Taiwan,Eastern Asia,38,6.3,0.04,1.29,1.08,0.88,0.4,0.08,0.25,2.32,50.6
Kuwait,Middle East and Northern Africa,39,6.3,0.04,1.55,1.17,0.72,0.55,0.26,0.16,1.88,51.59
Suriname,Latin America and Caribbean,40,6.27,0.1,1.0,0.97,0.61,0.6,0.14,0.17,2.79,52.54
Trinidad and Tobago,Latin America and Caribbean,41,6.17,0.11,1.21,1.18,0.61,0.56,0.01,0.32,2.27,53.34
El Salvador,Latin America and Caribbean,42,6.13,0.06,0.76,1.03,0.68,0.4,0.12,0.11,3.04,54.26
Guatemala,Latin America and Caribbean,43,6.12,0.05,0.75,1.04,0.64,0.58,0.09,0.27,2.74,55.25
Uzbekistan,Central and Eastern Europe,44,6.0,0.04,0.63,1.34,0.6,0.66,0.31,0.23,2.24,56.01
Slovakia,Central and Eastern Europe,45,6.0,0.04,1.17,1.27,0.79,0.32,0.03,0.17,2.25,56.99
Japan,Eastern Asia,46,5.99,0.04,1.27,1.26,0.99,0.5,0.18,0.11,1.68,57.97
South Korea,Eastern Asia,47,5.98,0.04,1.24,0.96,0.97,0.33,0.08,0.19,2.22,58.97
Ecuador,Latin America and Caribbean,48,5.98,0.04,0.86,1.0,0.79,0.49,0.18,0.12,2.54,59.95
Bahrain,Middle East and Northern Africa,49,5.96,0.05,1.32,1.22,0.75,0.45,0.31,0.17,1.74,60.92
Italy,Western Europe,50,5.95,0.04,1.25,1.2,0.95,0.26,0.03,0.23,2.03,61.9
Bolivia,Latin America and Caribbean,51,5.89,0.06,0.68,0.98,0.54,0.57,0.09,0.21,2.82,62.78
Moldova,Central and Eastern Europe,52,5.89,0.04,0.59,1.02,0.62,0.33,0.02,0.21,3.11,63.78
Paraguay,Latin America and Caribbean,53,5.88,0.05,0.76,1.3,0.66,0.54,0.08,0.34,2.19,64.76
Kazakhstan,Central and Eastern Europe,54,5.86,0.04,1.12,1.12,0.64,0.52,0.08,0.12,2.25,65.71
Slovenia,Central and Eastern Europe,55,5.85,0.04,1.18,1.27,0.87,0.61,0.04,0.25,1.62,66.7
