Rank,Player_Name,Position,Team,Age,Birth_Year,Matches_Played,Matches_Started,Minutes_Played,Ninety_Minute_Equivalents,Goals,Assists,Goals_Assists,Non_Penalty_Goals,Penalty_Goals,Penalty_Attempts,Yellow_Cards,Red_Cards,Player_ID,Assists_Per_90,Goal_Contributions_Per_90,Goals_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goal_Contributions_Per_90
1,Ignazio Abate,DF,it Italy,27.0,1986,1,1,90,1.0,0,0,0,0,0,0,0,0,1c529186,0.0,0.0,0.0,0.0,0.0
2,Vincent Aboubakar,FW,cm Cameroon,22.0,1992,2,2,140,1.6,0,0,0,0,0,0,0,0,8637e09a,0.0,0.0,0.0,0.0,0.0
3,Gabriel Achilier,DF,ec Ecuador,29.0,1985,2,0,10,0.1,0,0,0,0,0,0,0,0,bf7d1725,0.0,0.0,0.0,0.0,0.0
4,Johnny Acosta,DF,cr Costa Rica,30.0,1983,2,1,164,1.8,0,0,0,0,0,0,1,0,6aaf0284,0.0,0.0,0.0,0.0,0.0
5,Afriyie Acquah,MF,gh Ghana,22.0,1992,1,0,15,0.2,0,0,0,0,0,0,0,0,d7403bd5,0.0,0.0,0.0,0.0,0.0
6,Albert Adomah,FW,gh Ghana,26.0,1987,1,0,13,0.1,0,0,0,0,0,0,0,0,c7174e81,0.0,0.0,0.0,0.0,0.0
7,Harrison Afful,DF,gh Ghana,27.0,1986,2,2,180,2.0,0,1,1,0,0,0,1,0,7d8ede09,0.5,0.5,0.0,0.0,0.5
8,Sergio Agüero,FW,ar Argentina,26.0,1988,5,3,313,3.5,0,0,0,0,0,0,1,0,4d034881,0.0,0.0,0.0,0.0,0.0
9,Abel Aguilar,MF,co Colombia,29.0,1985,3,3,236,2.6,0,2,2,0,0,0,0,0,6936b41b,0.76,0.76,0.0,0.0,0.76
10,Paul Aguilar,DF,mx Mexico,28.0,1986,4,4,360,4.0,0,0,0,0,0,0,2,0,c931cdfe,0.0,0.0,0.0,0.0,0.0
11,Emmanuel Agyemang-Badu,MF,gh Ghana,23.0,1990,2,1,103,1.1,0,0,0,0,0,0,0,0,fe0b8f0e,0.0,0.0,0.0,0.0,0.0
12,Igor Akinfeev,GK,ru Russia,28.0,1986,3,3,270,3.0,0,0,0,0,0,0,0,0,42ec696a,0.0,0.0,0.0,0.0,0.0
13,Jordi Alba,DF,es Spain,25.0,1989,3,3,270,3.0,0,0,0,0,0,0,0,0,4601e194,0.0,0.0,0.0,0.0,0.0
14,Raúl Albiol,DF,es Spain,28.0,1985,1,1,90,1.0,0,0,0,0,0,0,0,0,4bd414c1,0.0,0.0,0.0,0.0,0.0
15,Toby Alderweireld,DF,be Belgium,25.0,1989,4,4,390,4.3,0,0,0,0,0,0,2,0,f7d50789,0.0,0.0,0.0,0.0,0.0
16,André Almeida,DF,pt Portugal,23.0,1990,2,1,71,0.8,0,0,0,0,0,0,0,0,67b3d74b,0.0,0.0,0.0,0.0,0.0
17,Hugo Almeida,FW,pt Portugal,30.0,1984,1,1,27,0.3,0,0,0,0,0,0,0,0,740acaf8,0.0,0.0,0.0,0.0,0.0
18,Xabi Alonso,MF,es Spain,32.0,1981,3,3,189,2.1,1,0,1,0,1,1,1,0,dc001a06,0.0,0.48,0.48,0.0,0.0
19,Jozy Altidore,FW,us United States,24.0,1989,1,1,22,0.2,0,0,0,0,0,0,0,0,8db8ad1e,0.0,0.0,0.0,0.0,0.0
20,Éder Álvarez Balanta,DF,co Colombia,21.0,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,8ce30c57,0.0,0.0,0.0,0.0,0.0
21,Ricky Álvarez,MF,ar Argentina,26.0,1988,1,0,28,0.3,0,0,0,0,0,0,0,0,92a5ac34,0.0,0.0,0.0,0.0,0.0
22,Bruno Alves,DF,pt Portugal,32.0,1981,3,3,270,3.0,0,0,0,0,0,0,0,0,585a73a8,0.0,0.0,0.0,0.0,0.0
23,Dani Alves,DF,br Brazil,31.0,1983,4,4,390,4.3,0,0,0,0,0,0,1,0,c9e99e49,0.0,0.0,0.0,0.0,0.0
24,Efe Ambrose,DF,ng Nigeria,25.0,1988,4,4,360,4.0,0,0,0,0,0,0,0,0,31e86a0f,0.0,0.0,0.0,0.0,0.0
25,Shola Ameobi,FW,ng Nigeria,32.0,1981,2,0,65,0.7,0,0,0,0,0,0,0,0,e79a368b,0.0,0.0,0.0,0.0,0.0
26,Rúben Amorim,MF,pt Portugal,29.0,1985,1,1,90,1.0,0,0,0,0,0,0,0,0,a9dfa7ad,0.0,0.0,0.0,0.0,0.0
27,Karim Ansarifard,FW,ir IR Iran,24.0,1990,1,0,23,0.3,0,0,0,0,0,0,1,0,50cddd19,0.0,0.0,0.0,0.0,0.0
28,Toshihiro Aoyama,MF,jp Japan,28.0,1986,1,1,61,0.7,0,0,0,0,0,0,0,0,c1b2b6e0,0.0,0.0,0.0,0.0,0.0
29,Javier Aquino,DF,mx Mexico,24.0,1990,1,0,30,0.3,0,0,0,0,0,0,0,0,215104cc,0.0,0.0,0.0,0.0,0.0
30,Charles Aránguiz,MF,cl Chile,25.0,1989,4,4,363,4.0,1,1,2,1,0,0,1,0,56413b1f,0.25,0.5,0.25,0.25,0.5
31,Egidio Arévalo,MF,uy Uruguay,32.0,1982,4,4,360,4.0,0,0,0,0,0,0,1,0,eb65c8f9,0.0,0.0,0.0,0.0,0.0
32,Santiago Arias,DF,co Colombia,22.0,1992,3,1,126,1.4,0,0,0,0,0,0,0,0,fdd60087,0.0,0.0,0.0,0.0,0.0
33,Pablo Armero,DF,co Colombia,27.0,1986,5,5,414,4.6,1,0,1,1,0,0,1,0,afabf74e,0.0,0.22,0.22,0.22,0.22
34,Michael Arroyo,FW,ec Ecuador,27.0,1987,2,1,102,1.1,0,0,0,0,0,0,0,0,a5f43c3f,0.0,0.0,0.0,0.0,0.0
35,Kwadwo Asamoah,DF,gh Ghana,25.0,1988,3,3,270,3.0,0,1,1,0,0,0,0,0,089550f5,0.33,0.33,0.0,0.0,0.33
36,Benoît Assou-Ekotto,DF,cm Cameroon,30.0,1984,2,2,180,2.0,0,0,0,0,0,0,0,0,a557e6b0,0.0,0.0,0.0,0.0,0.0
37,Christian Atsu,FW,gh Ghana,22.0,1992,3,3,238,2.6,0,0,0,0,0,0,0,0,8816329f,0.0,0.0,0.0,0.0,0.0
38,Serge Aurier,DF,ci Côte d'Ivoire,21.0,1992,3,3,270,3.0,0,2,2,0,0,0,0,0,5c2b4f07,0.67,0.67,0.0,0.0,0.67
39,André Ayew,FW,gh Ghana,24.0,1989,3,3,261,2.9,2,0,2,2,0,0,0,0,5dbefa9d,0.0,0.69,0.69,0.69,0.69
40,Jordan Ayew,FW,gh Ghana,22.0,1991,3,1,117,1.3,0,0,0,0,0,0,1,0,da052c14,0.0,0.0,0.0,0.0,0.0
41,Walter Ayoví,DF,ec Ecuador,34.0,1979,3,3,270,3.0,0,2,2,0,0,0,0,0,7d5241b0,0.67,0.67,0.0,0.0,0.67
42,Ramon Azeez,MF,ng Nigeria,21.0,1992,1,1,68,0.8,0,0,0,0,0,0,0,0,0cc474e7,0.0,0.0,0.0,0.0,0.0
43,César Azpilicueta,DF,es Spain,24.0,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,53cad200,0.0,0.0,0.0,0.0,0.0
44,Michael Babatunde,MF,ng Nigeria,21.0,1992,2,2,139,1.5,0,1,1,0,0,0,0,0,4e946302,0.65,0.65,0.0,0.0,0.65
45,Carlos Bacca,FW,co Colombia,27.0,1986,1,0,21,0.2,0,0,0,0,0,0,0,0,09a9e921,0.0,0.0,0.0,0.0,0.0
46,Leighton Baines,DF,eng England,29.0,1984,2,2,180,2.0,0,0,0,0,0,0,0,0,b18095b6,0.0,0.0,0.0,0.0,0.0
47,Mario Balotelli,FW,it Italy,23.0,1990,3,3,207,2.3,1,0,1,1,0,0,2,0,8ff07990,0.0,0.43,0.43,0.43,0.43
48,Sol Bamba,DF,ci Côte d'Ivoire,29.0,1985,3,3,270,3.0,0,0,0,0,0,0,1,0,5534217d,0.0,0.0,0.0,0.0,0.0
49,Ross Barkley,MF,eng England,20.0,1993,3,1,147,1.6,0,0,0,0,0,0,1,0,3a24769f,0.0,0.0,0.0,0.0,0.0
50,Michael Barrantes,MF,cr Costa Rica,30.0,1983,2,0,15,0.2,0,0,0,0,0,0,0,0,2bbff300,0.0,0.0,0.0,0.0,0.0
51,Boubacar Barry,GK,ci Côte d'Ivoire,34.0,1979,3,3,270,3.0,0,0,0,0,0,0,0,0,bfa2435a,0.0,0.0,0.0,0.0,0.0
52,Andrea Barzagli,DF,it Italy,33.0,1981,3,3,270,3.0,0,0,0,0,0,0,0,0,7c0000fd,0.0,0.0,0.0,0.0,0.0
53,DaMarcus Beasley,DF,us United States,32.0,1982,4,4,390,4.3,0,0,0,0,0,0,0,0,e4d6e7d9,0.0,0.0,0.0,0.0,0.0
54,Jean Beausejour,DF,cl Chile,30.0,1984,2,0,68,0.8,1,0,1,1,0,0,0,0,c8404849,0.0,1.32,1.32,1.32,1.32
55,Brayan Beckeles,DF,hn Honduras,28.0,1985,3,3,270,3.0,0,0,0,0,0,0,0,0,5a19e4b8,0.0,0.0,0.0,0.0,0.0
56,Kyle Beckerman,MF,us United States,32.0,1982,3,3,270,3.0,0,0,0,0,0,0,1,0,3485cb96,0.0,0.0,0.0,0.0,0.0
57,Henri Bedimo,DF,cm Cameroon,30.0,1984,1,1,90,1.0,0,0,0,0,0,0,0,0,0d57f1c1,0.0,0.0,0.0,0.0,0.0
58,Alejandro Bedoya,FW,us United States,27.0,1987,4,3,283,3.1,0,0,0,0,0,0,0,0,9a6f8dfd,0.0,0.0,0.0,0.0,0.0
59,Asmir Begović,GK,ba Bosnia–Herz,26.0,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,7b4de647,0.0,0.0,0.0,0.0,0.0
60,Valon Behrami,DF,ch Switzerland,29.0,1985,4,4,345,3.8,0,0,0,0,0,0,0,0,d3d758d8,0.0,0.0,0.0,0.0,0.0
61,Essaïd Belkalem,DF,dz Algeria,25.0,1989,3,2,212,2.4,0,0,0,0,0,0,0,0,747e6a95,0.0,0.0,0.0,0.0,0.0
